,song_name,main_artist,artist_count,released_year,released_month,released_day,streams,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
67,people,libianca,1,2022,12,2,373199958,198,Minor,59,71,42,55,0,10,7
68,overdrive,post malone,1,2023,7,14,14780425,140,Major,56,48,73,0,0,35,4
69,enchanted,taylor swift,1,2023,7,7,39578178,82,Major,51,22,53,1,0,15,3
70,baby hello,rauw alejandro,2,2023,6,23,54266102,130,Minor,77,84,89,17,0,43,5
71,heat waves,glass animals,1,2020,6,28,2557975762,81,Major,76,53,53,44,0,9,9
72,golden hour,jvke,1,2022,7,15,751134527,94,Minor,51,14,59,65,18,25,3
73,sweater weather,the neighbourhood,1,2012,5,14,2282771485,124,Major,61,41,81,5,2,10,3
74,"quevedo: bzrp music sessions, vol. 52",bizarrap,2,2022,7,6,1356565093,128,Major,62,55,78,1,3,23,4
75,viva la vida,coldplay,1,2008,1,1,1592909789,138,Minor,49,42,62,9,0,11,3
76,here with me,d4vd,1,2022,7,17,635412045,132,Major,58,27,48,50,0,12,3
77,unholy,sam smith,2,2022,9,22,1230675890,131,Major,71,24,47,1,0,27,9
78,yandel 150,yandel,2,2022,12,20,585695368,168,Minor,78,58,73,5,0,10,7
79,corazï¿½ï¿½n va,maria becerra,1,2023,6,22,43857627,98,Major,68,40,79,33,0,30,6
80,riptide,vance joy,1,1975,1,1,2009094673,102,Major,48,50,73,43,0,15,4
81,until i found you,em beihold,2,2022,4,22,600976848,101,Major,34,32,57,78,0,20,3
82,novidade na ï¿½ï¿,mc livinho,2,2023,6,23,39709092,130,Major,63,36,34,76,0,35,9
83,back to december,taylor swift,1,2023,7,7,39228929,142,Major,50,20,64,1,0,12,3
84,stay,justin bieber,2,2021,7,9,2665343922,170,Major,59,48,76,4,0,10,5
85,el merengue,marshmello,2,2023,3,3,223633238,124,Minor,78,70,68,3,1,11,4
86,someone you loved,lewis capaldi,1,2018,11,8,2887241814,110,Major,50,45,41,75,0,11,3
87,me porto bonito,chencho corleone,2,2022,5,6,1440757818,92,Minor,91,43,71,9,0,9,8
88,makeba,jain,1,2015,6,22,165484133,116,Major,82,40,66,39,51,25,7
89,montagem - fr punk,ayparia,2,2012,6,20,58054811,129,Major,63,84,82,70,8,9,7
90,fast car,luke combs,1,2023,3,24,157058870,98,Major,71,67,60,19,0,12,3
91,what it is,doechii,1,2023,3,17,95131998,172,Minor,74,76,76,6,0,10,9
92,coco chanel,bad bunny,2,2023,3,17,250305248,150,Major,68,14,76,4,0,10,4
93,donï¿½ï¿½ï¿½t bl,taylor swift,1,2017,11,8,685032533,136,Minor,62,19,53,11,0,6,4
94,still with you,jung kook,1,2020,6,5,38411956,88,Minor,53,34,47,9,0,83,4
95,all my life,j. cole,2,2023,5,12,144565150,143,Major,83,69,44,15,0,10,33
96,say yes to heaven,lana del rey,1,2023,3,17,127567540,100,Minor,49,17,35,71,9,11,3
97,snooze,sza,1,2022,12,9,399686758,143,Major,56,39,55,14,0,11,13
98,summertime sadness,lana del rey,1,2011,1,1,983637508,112,Minor,56,24,66,7,0,12,3
99,take two,bts,1,2023,6,9,118482347,93,Major,62,57,59,3,0,38,3
100,lover,taylor swift,1,2012,1,1,882831184,206,Major,43,50,55,50,0,15,10
101,too many nights,future,3,2022,12,2,286400165,88,Minor,68,17,71,15,0,11,5
102,chemical,post malone,1,2023,4,14,172825906,170,Major,50,37,90,0,0,12,5
103,mockingbird,eminem,1,2004,1,1,1241559043,84,Minor,62,24,67,21,0,13,28
104,new jeans,newjeans,1,2023,7,7,29562220,134,Minor,81,53,72,51,0,12,5
105,primera cita,carin leon,1,2022,4,20,77309611,158,Major,54,50,40,61,0,10,6
106,cold heart - pnau remix,dua lipa,3,2017,11,10,1605224506,116,Major,80,92,80,4,0,10,3
107,dandelions,ruth b.,1,2017,4,28,1116995633,117,Major,61,45,69,2,0,9,3
108,bones,imagine dragons,1,2021,3,11,838079900,114,Minor,77,65,72,2,0,7,5
109,set fire to the rain,adele,1,2011,1,1,1163620694,108,Minor,61,47,68,0,0,13,3
110,money trees,kendrick lamar,2,2012,1,1,1093605526,144,Minor,74,37,53,7,0,21,10
111,tak segampang itu,anggi marito,1,2022,12,2,179659294,130,Major,51,18,44,76,0,11,3
112,lagunas,jasiel nuï¿½ï¿½ez,2,2023,6,22,39058561,116,Major,77,79,62,33,1,15,3
113,mine,taylor swift,1,2023,7,7,36912123,121,Major,65,49,78,0,0,17,4
114,everybody wants to rule the world,tears for fears,1,1985,2,17,1205951614,112,Major,64,54,81,36,0,11,6
115,no role modelz,j. cole,1,2014,12,9,1791000570,100,Minor,70,47,52,30,0,6,33
116,tattoo,loreen,1,2023,2,25,201660859,150,Minor,55,30,78,24,0,12,8
117,rara vez,taiu,2,2023,2,8,248088961,120,Minor,84,96,71,18,0,34,17
118,vagabundo,sebastian yatra,3,2023,5,12,90839753,127,Minor,82,89,85,4,0,23,6
119,august,taylor swift,1,2020,7,24,607123776,90,Major,51,42,61,53,0,9,3
120,luna,junior h,2,2023,6,22,55842345,128,Minor,75,79,63,33,0,15,4
121,miracle,calvin harris,2,2023,3,10,211050784,143,Major,64,31,87,4,4,8,4
122,nonsense,sabrina carpenter,1,2022,7,15,342897938,139,Major,74,68,68,3,0,26,4
123,que vuelvas,carin leon,2,2022,12,9,2762,162,Major,49,78,64,19,0,11,4
124,por las noches,peso pluma,1,2021,6,11,330346424,92,Major,81,39,60,31,0,7,3
125,feliz cumpleaï¿½ï¿½os fe,feid,1,2022,8,19,601863821,95,Major,87,57,55,10,0,29,7
126,can't hold us,ray dalton,3,2011,8,16,1953533826,146,Major,63,88,93,3,0,10,8
127,watermelon sugar,harry styles,1,2019,11,17,2322580122,95,Major,55,56,82,12,0,34,5
128,lovely - bonus track,billie eilish,2,2017,8,11,2355719893,115,Minor,35,12,30,93,0,10,3
129,"rauw alejandro: bzrp music sessions, vol. 56",rauw alejandro,2,2023,6,21,66902503,128,Major,78,59,65,10,0,26,5
130,queencard,(g)i-dle,1,2023,5,15,96273746,130,Minor,82,69,83,3,0,27,5
131,omg,newjeans,1,2023,1,2,430977451,127,Minor,80,74,77,36,0,11,4
132,radio,lana del rey,1,2011,1,1,284819874,150,Major,42,20,86,21,0,9,9
133,"shakira: bzrp music sessions, vol. 53",shakira,2,2023,1,11,721975598,122,Minor,78,50,63,27,0,9,5
134,505,arctic monkeys,1,2007,4,20,1217120710,140,Major,52,20,85,0,0,7,5
135,calling,swae lee,4,2023,6,2,109276132,140,Major,63,22,54,46,0,12,8
136,trance,travis scott,3,2022,12,2,276259178,119,Minor,75,48,53,18,0,18,34
137,tere vaaste,sachin-jigar,5,2023,5,22,54225632,110,Minor,76,96,72,32,0,9,4
138,perfect,ed sheeran,1,2017,1,1,2559529074,95,Major,60,17,45,16,0,11,2
139,romantic homicide,d4vd,1,2022,7,20,681583126,132,Major,56,20,55,45,1,32,3
140,believer,imagine dragons,1,2017,1,31,2594040133,125,Minor,77,74,78,4,0,23,11
141,novo balanï¿½,veigh,4,2023,5,19,81102253,124,Minor,84,65,50,67,0,13,6
142,"gol bolinha, gol quadrado 2",mc pedrinho,2,2023,6,1,11956641,133,Minor,93,68,65,42,0,12,25
143,without me,eminem,1,2002,1,1,1687664027,112,Major,92,67,66,0,0,36,9
144,quema,sog,3,2023,7,13,11599388,97,Major,79,92,89,5,0,6,5
145,stargirl interlude,the weeknd,2,2016,11,24,611700552,90,Minor,59,52,48,38,5,10,11
146,ojitos lindos,bomba estï¿½ï¿½reo,2,2022,5,6,1133865788,80,Minor,65,27,69,8,0,53,4
147,somewhere only we know,keane,1,2004,1,1,1089402494,172,Major,45,33,59,6,0,8,3
148,those eyes,new west,1,2019,5,10,411747614,120,Major,60,24,35,73,0,31,3
149,el gordo trae el mando,chino pacas,1,2023,1,27,255932395,140,Minor,74,96,80,18,0,5,5
150,mi bello angel,natanael cano,1,2023,6,30,31873544,128,Minor,81,90,77,1,0,9,5
151,bye,peso pluma,1,2023,5,26,95053634,122,Major,78,70,81,57,0,10,5
152,danza kuduro,don omar,2,2010,1,1,1279434863,130,Major,47,86,92,8,0,5,24
153,nosso quadro,ana castela,2,2023,2,2,233801632,160,Major,69,61,71,33,0,31,20
154,locked out of heaven,bruno mars,1,2012,12,5,1481349984,144,Major,73,87,70,6,0,28,5
155,un finde | crossover #2,big one,3,2023,4,4,142095275,192,Major,50,85,52,11,0,28,6
156,jimmy cooks,drake,2,2022,6,17,618885532,163,Major,54,40,67,0,0,9,17
157,counting stars,onerepublic,1,2013,1,1,2011464183,122,Minor,66,48,71,6,0,12,4
158,ghost,justin bieber,1,2021,3,19,1167330737,154,Major,61,41,74,21,0,40,6
159,under the influence,chris brown,1,2019,10,4,929964809,117,Minor,73,31,69,6,0,11,4
160,prc,natanael cano,2,2023,1,23,436027885,138,Minor,78,89,83,10,0,12,5
161,gasolina,daddy yankee,1,2004,7,13,657723613,96,Major,86,74,80,33,0,8,6
162,one dance,drake,3,2016,4,4,2713922350,104,Major,77,36,63,1,0,36,5
164,save your tears,the weeknd,1,2020,3,20,1591223784,118,Major,68,61,82,2,0,50,3
165,sure thing,miguel,1,2010,5,25,950906471,81,Minor,68,51,60,3,0,19,10
166,every breath you take - remastered 2003,the police,1,1983,1,6,1593270737,117,Major,82,73,45,54,0,7,3
167,the night we met,lord huron,1,2015,2,2,1410088830,174,Major,45,10,37,97,25,64,4
168,we found love,rihanna,2,2011,1,1,1235005533,128,Major,73,60,77,3,0,11,4
169,when i was your man,bruno mars,1,2012,12,5,1661187319,145,Major,60,43,27,94,0,14,4
170,let me down slowly,alec benjamin,1,2018,5,25,1374581173,150,Minor,65,51,55,73,0,14,3
171,am i dreaming,a$ap rocky,3,2023,6,2,94186466,90,Minor,60,13,53,4,0,21,4
172,do i wanna know?,arctic monkeys,1,2013,1,1,1788326445,85,Major,55,42,53,17,0,22,3
173,demons,imagine dragons,1,2012,1,1,1840364617,180,Major,33,38,71,20,0,28,5
174,ýýýýýýýýýýýý,yoasobi,1,2023,4,12,143573775,166,Major,57,84,94,11,0,37,9
175,reminder,the weeknd,1,2016,11,25,684675814,160,Major,71,40,50,16,0,16,22
176,shake it off,taylor swift,1,2014,1,1,1113838873,160,Major,65,95,80,5,0,41,16
177,why'd you only call me when you're high?,arctic monkeys,1,2013,1,1,1267333350,92,Major,70,81,63,4,0,8,4
178,snap,rosa linn,1,2022,3,19,726307468,170,Major,56,53,64,11,0,45,6
179,shape of you,ed sheeran,1,2017,1,6,3562543890,96,Minor,83,93,65,58,0,9,8
180,night changes,one direction,1,2014,11,17,1131090940,120,Major,67,40,52,86,0,12,4
181,fin de semana,oscar maydon,2,2023,1,13,307370144,98,Major,70,37,54,6,0,9,8
182,creep,radiohead,1,1992,9,21,1271293243,92,Major,53,12,34,1,0,12,4
183,car's outside,james arthur,1,2019,10,18,265882712,150,Major,34,24,56,4,0,11,3
184,apocalypse,cigarettes after sex,1,2017,3,21,841749534,94,Major,37,17,47,2,46,11,3
185,cheques,shubh,1,2023,5,19,47956378,90,Minor,74,36,63,26,0,27,5
186,pink + white,frank ocean,1,2016,8,20,806397070,160,Major,54,54,55,67,0,42,11
187,circles,post malone,1,2019,8,30,2132335812,120,Major,70,59,75,24,0,9,4
188,just the way you are,bruno mars,1,2010,1,1,1641426668,109,Major,63,46,85,1,0,9,5
189,take me to church,hozier,1,2013,9,13,2135158446,129,Minor,57,41,66,63,0,12,5
190,bebe dame,fuerza regida,2,2022,12,16,367316268,157,Major,54,75,60,30,0,7,5
191,you belong with me,taylor swift,1,2021,4,9,350381515,130,Major,63,49,73,5,0,9,3
