,song_name,main_artist,artist_count,released_year,released_month,released_day,streams,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
297,superman,eminem,2,2002,5,26,655466831,130,Minor,80,64,76,2,0,20,6
298,mas rica que ayer,mambo kingz,3,2023,3,2,146409671,94,Major,82,53,67,34,0,9,8
299,people pt.2,iu,2,2023,4,7,95816024,89,Minor,73,44,57,39,0,32,6
300,remix exclusivo,feid,1,2023,3,17,117206995,87,Minor,65,71,56,4,0,15,20
301,"arcï¿½ï¿½ngel: bzrp music sessions, vol",arcangel,2,2023,3,22,100409613,124,Minor,72,79,78,55,0,15,30
302,dogtooth,tyler,2,2023,3,27,80758350,78,Major,71,80,65,51,0,22,32
303,10:35,tiï¿½ï¿½sto,2,2022,11,1,325592432,120,Major,70,70,79,7,0,18,10
304,sorry not sorry,tyler,2,2023,3,31,58473276,96,Minor,48,50,80,40,0,37,20
305,happy,nf,1,2023,3,25,52722996,106,Major,73,22,86,31,0,12,4
306,la bebe,yng lvcas,1,2021,12,24,191945597,170,Minor,78,75,46,62,0,12,35
307,i know - pr1svx edit,kanii,2,2023,3,24,77377503,134,Minor,67,11,76,8,47,30,7
308,late night talking,harry styles,1,2022,5,20,743693613,115,Major,71,90,73,30,0,11,5
309,leï¿½,marï¿½ï¿½lia mendo,1,2022,12,9,267789608,130,Major,74,79,87,45,0,30,3
310,save your tears,ariana grande,2,2020,3,20,1221813483,118,Major,65,63,79,3,0,10,3
311,something in the orange,zach bryan,1,2022,4,22,449701773,110,Major,59,22,38,42,0,12,3
312,void,melanie martinez,1,2023,3,29,67070410,100,Major,72,42,66,18,4,19,4
313,dijeron que no la iba lograr,fuerza regida,2,2023,3,14,116334601,142,Minor,70,76,79,26,0,11,7
314,midnight rain,taylor swift,1,2022,10,21,433356509,140,Major,64,18,37,72,0,12,7
315,if we ever broke up,mae stephens,1,2023,2,10,165584767,116,Major,90,96,73,62,0,9,4
316,you proof,morgan wallen,1,2022,5,13,367814306,120,Major,73,64,85,25,0,61,3
317,la inocente,feid,2,2022,4,1,477033549,92,Minor,76,46,79,31,0,7,6
318,malas decisiones,kenia os,1,2022,10,26,156214700,110,Minor,81,64,79,5,0,31,3
319,murder in my mind,kordhell,1,2022,1,21,448843705,120,Major,71,57,97,1,0,13,11
320,gangsta's paradise,coolio,2,1995,7,11,1357608774,80,Major,63,40,61,9,0,56,6
321,cairo,karol g,2,2022,11,13,294352144,115,Minor,95,43,69,47,0,9,31
322,i love you so,the walters,1,2014,11,28,972164968,76,Major,58,46,67,65,0,13,4
323,dark red,steve lacy,1,2017,2,20,920045682,172,Major,60,77,78,45,0,12,6
324,say you won't let go,james arthur,1,2016,9,9,2420461338,99,Major,40,45,56,69,0,9,5
325,the hills,the weeknd,1,2015,5,27,1947371785,136,Minor,36,12,57,9,0,14,8
326,heart to heart,mac demarco,1,2019,5,10,244658767,150,Minor,90,64,14,67,35,11,10
327,peaches,jack black,1,2023,4,7,68216992,92,Minor,71,41,31,79,0,10,5
328,marisola - remix,duki,5,2022,12,15,223582566,95,Major,77,72,87,17,0,7,5
329,lokera,brray,3,2022,7,25,471819764,102,Minor,83,58,83,21,0,10,5
330,low,sza,1,2022,12,9,272377463,145,Minor,70,34,55,43,0,16,6
331,numb,linkin park,1,2003,3,24,1361425037,110,Major,50,24,86,0,0,64,4
332,tormenta,gorillaz,2,2023,2,24,149778242,95,Major,64,30,77,46,0,38,6
333,on the street,j-hope,2,2023,3,3,116599790,94,Minor,68,81,82,53,0,9,13
334,one thing at a time,morgan wallen,1,2022,12,2,148469433,142,Major,61,92,91,0,0,26,3
335,miss you,robin schulz,2,2022,8,5,497225336,145,Minor,59,20,74,1,0,15,5
336,ainï¿½ï¿½ï¿½t tha,morgan wallen,1,2023,3,3,88791109,121,Minor,64,67,80,0,0,36,3
337,thinkinï¿½ï¿½ï¿½ b,morgan wallen,1,2023,3,3,125917280,140,Minor,66,43,76,49,0,12,3
338,private landing,don toliver,3,2023,2,23,105062254,137,Minor,84,44,67,8,0,11,6
339,everything i love,morgan wallen,1,2023,1,31,95623148,104,Major,56,72,85,0,0,15,3
340,heaven,niall horan,1,2023,2,17,144584800,92,Major,57,68,76,7,0,33,3
341,let go,central cee,1,2022,12,15,298063749,146,Minor,74,51,45,86,0,21,38
342,sial,mahalini,1,2023,1,23,166570053,120,Major,56,20,43,89,0,12,4
343,i wrote the book,morgan wallen,1,2023,1,31,83021468,144,Major,68,83,81,9,0,8,4
344,apna bana le,arijit singh,2,2022,11,5,139836056,94,Major,59,44,56,80,0,6,3
345,spit in my face!,thxsomch,1,2022,10,31,303216294,94,Major,73,65,79,5,2,11,6
346,playa del inglï¿½,myke towers,2,2022,12,15,221409663,113,Minor,79,66,74,8,0,11,5
347,man made a bar,morgan wallen,2,2023,3,3,58890931,148,Major,50,49,76,12,0,12,3
348,red ruby da sleeze,nicki minaj,1,2023,3,3,81419389,98,Major,70,29,73,12,0,11,26
349,kahani suno 2.0,kaifi khalil,1,2022,5,31,156777415,140,Major,58,26,38,91,0,10,4
350,nobody gets me,sza,1,2022,12,9,284908316,100,Major,36,28,28,81,0,18,3
351,pero tï¿,karol g,2,2023,2,23,93438910,140,Major,86,68,79,39,0,11,29
352,hype boy,newjeans,1,2022,8,1,363472647,100,Minor,59,78,94,27,0,29,23
353,bloody mary,lady gaga,1,2011,1,1,372476382,100,Minor,59,49,65,2,0,13,3
354,monotonï¿½,ozuna,2,2022,10,19,380726517,132,Minor,87,82,70,42,0,21,5
355,ýýý98 braves,morgan wallen,1,2023,3,3,56533272,142,Major,49,48,67,10,0,26,3
356,wanda,quevedo,1,2023,1,20,175399345,176,Minor,72,96,63,25,0,21,7
357,thought you should know,morgan wallen,1,2022,5,6,203221468,140,Major,53,51,70,49,0,14,3
358,in the end,linkin park,1,2000,10,24,1624165576,105,Minor,55,40,90,1,0,32,6
359,zona de perigo,leo santana,1,2022,12,8,134294498,135,Major,81,97,77,75,0,35,3
360,lovezinho,treyce,1,2022,7,28,70069745,128,Minor,82,61,59,30,0,12,4
361,i like you,post malone,2,2022,6,3,609293408,101,Major,74,43,69,12,0,12,7
362,neverita,bad bunny,1,2022,5,6,671365962,122,Major,88,43,50,7,0,14,5
363,vista al mar,quevedo,1,2022,9,8,362361576,105,Minor,76,49,56,80,12,10,13
364,sem alianï¿½ï¿½a no,mc xenon,2,2022,12,23,93587665,83,Major,53,40,36,73,0,11,33
365,enemy,imagine dragons,4,2021,9,3,1223481149,77,Minor,72,59,76,24,0,42,28
366,revenge,xxxtentacion,1,2017,8,25,1022258230,140,Minor,75,18,25,78,0,11,26
367,bombonzinho - ao vivo,israel & rodolffo,2,2022,11,3,263453310,158,Major,65,72,95,31,0,92,5
368,la canciï¿½,j balvin,2,2019,6,28,1435127549,176,Major,75,43,65,15,0,11,32
369,quï¿½ï¿½ ago,yuridia,2,2022,10,20,236857112,98,Major,73,88,57,56,0,5,2
370,love again,the kid laroi,1,2023,1,27,147538971,107,Minor,66,47,40,72,0,11,3
371,after hours,the weeknd,1,2020,2,19,698086140,109,Minor,66,16,57,10,1,12,3
372,about damn time,lizzo,1,2022,7,15,723894473,109,Minor,84,72,74,10,0,34,7
373,born with a beer in my hand,morgan wallen,1,2023,3,3,34450974,148,Major,53,61,81,5,0,36,4
374,ýýýýýýýýýýýýýýýýýýýýý,fujii kaze,1,2020,5,20,403097450,158,Minor,60,52,76,17,0,19,5
375,besos moja2,wisin & yandel,2,2022,9,29,309483971,94,Minor,74,64,73,6,0,10,6
376,maan meri jaan,king,1,2022,10,12,319566866,96,Minor,70,40,51,35,0,10,4
377,moscow mule,bad bunny,1,2022,5,6,909001996,100,Minor,80,29,67,29,0,12,3
378,my universe,coldplay,2,2021,9,24,1061966512,105,Major,58,42,68,1,0,14,4
379,devil donï¿½ï¿½ï¿½,morgan wallen,1,2023,3,3,32526947,125,Major,53,32,66,38,0,9,3
380,llylm,rosalï¿½,1,2023,1,27,124988687,170,Minor,56,56,63,13,0,19,27
381,i'm not here to make friends,sam smith,3,2023,1,27,103787664,115,Major,70,84,90,17,0,41,6
382,trustfall,p!nk,1,2023,1,27,134255790,122,Major,64,25,89,0,0,15,9
383,antifragile,le sserafim,1,2022,10,17,301051721,105,Minor,88,82,80,8,0,11,8
384,boy's a liar,pinkpantheress,1,2022,11,30,156338624,133,Major,66,74,84,25,0,21,4
385,vibe,taeyang,2,2023,1,13,152850295,100,Major,79,60,68,7,0,26,4
386,shirt,sza,1,2022,10,28,309653982,120,Minor,82,55,45,15,3,9,10
387,lift me up - from black panther: wakanda forever - music from and inspired by,rihanna,1,2022,10,28,297328960,177,Major,25,17,30,90,0,13,3
388,star walkin',lil nas x,1,2022,9,22,332506354,142,Minor,64,31,72,15,0,9,5
389,"sex, drugs, etc.",beach weather,1,2016,11,4,480507035,144,Minor,57,47,84,1,1,52,4
390,boy with luv,halsey,2,2019,4,12,1065580332,120,Minor,65,80,86,9,0,19,10
391,"hey, mickey!",baby tate,1,2016,9,27,122763672,135,Major,92,73,51,55,0,15,6
392,calm down,rï¿½ï,1,2022,2,9,445763624,107,Major,81,82,78,38,0,12,4
393,jhoome jo pathaan,arijit singh,6,2022,12,22,1365184,105,Major,82,62,74,10,0,33,7
394,escapism. - sped up,raye,2,2022,11,25,184308753,108,Minor,44,38,77,9,0,9,20
395,space song,beach house,1,2015,1,1,789753877,147,Minor,51,62,79,22,13,14,3
396,dreamers [music from the fifa world cup qatar 2022 official soundtrack],bts,3,2022,11,20,323358833,115,Major,71,34,88,16,0,44,4
397,te felicito,shakira,2,2022,4,21,606361689,174,Major,70,57,64,23,0,8,32
398,muï¿½ï¿½,steve aoki,3,2023,1,12,120972253,90,Minor,68,83,71,3,0,31,8
399,tv,billie eilish,1,2022,7,21,338564981,141,Minor,41,9,25,84,1,14,4
400,i'm not the only one,sam smith,1,2014,1,1,1606986953,82,Major,68,50,49,56,0,8,4
401,heather,conan gray,1,2020,3,20,1301799902,92,Major,47,25,43,62,0,32,3
402,besharam rang,vishal-shekhar,6,2022,12,12,140187018,116,Minor,77,65,80,6,0,15,4
403,one kiss,calvin harris,2,2017,6,2,1897517891,124,Minor,79,59,86,4,0,8,11
404,sugar rush ride,tomorrow x together,1,2023,1,27,107642809,125,Minor,71,83,89,1,0,17,9
405,pink venom,blackpink,1,2022,8,19,551305895,90,Major,80,71,69,2,0,27,10
406,wait for u,drake,3,2022,4,27,556585270,83,Major,46,34,64,31,0,7,34
407,don't start now,dua lipa,1,2019,10,31,2303033973,124,Minor,79,68,79,1,0,10,8
408,after dark,mr.kitty,1,2014,8,8,646886885,140,Major,58,4,60,7,41,8,3
409,eu gosto assim - ao vivo,gustavo mioto,2,2022,9,16,222612678,154,Major,64,61,91,15,0,72,4
410,industry baby,jack harlow,2,2021,7,23,1814349763,150,Minor,74,89,70,2,0,5,6
411,middle of the night,elley duhï¿,1,2020,1,10,872137015,186,Minor,41,9,61,2,0,12,5
412,atlantis,seafret,1,2015,4,22,571386359,166,Minor,40,23,48,5,0,12,3
413,punto 40,baby rasta,2,2022,9,22,304079786,107,Major,87,20,83,0,4,31,9
414,evoque prata,dj escobar,3,2022,9,9,174006928,87,Major,87,52,52,31,0,28,24
415,how do i say goodbye,dean lewis,1,2022,8,5,284785823,82,Major,40,39,64,21,0,7,7
416,blind,sza,1,2022,12,9,163284000,114,Minor,46,60,28,91,0,21,4
417,die for you,joji,1,2022,11,4,246390068,148,Major,47,15,52,38,13,29,5
418,doja,central cee,1,2022,7,20,482257456,140,Major,91,97,57,38,0,40,29
419,gatita,bellakath,1,2022,10,3,168684524,101,Major,90,76,81,15,24,33,6
420,rumble,skrillex,3,2022,1,17,78489819,140,Minor,81,6,84,5,23,6,6
421,niagara falls,travis scott,3,2022,12,2,195516622,88,Minor,49,24,66,19,0,18,29
422,yonaguni,bad bunny,1,2021,6,4,1260594497,180,Major,64,44,65,28,0,14,12
423,super freaky girl,nicki minaj,1,2022,8,12,428685680,133,Major,95,91,89,6,0,31,24
424,running up that hill,kate bush,1,1985,9,16,1024858327,108,Minor,63,20,55,72,0,6,6
425,dream on,aerosmith,1,1973,1,5,838586769,80,Minor,39,24,43,39,0,23,3
426,limbo,freddie dredd,1,2022,8,11,199386237,75,Minor,80,46,62,3,6,11,46
427,where are you now,lost frequencies,2,2021,7,30,972509632,121,Minor,67,26,64,52,0,17,10
428,worth nothing,twisted,2,2022,9,28,213438580,140,Minor,58,17,62,18,0,20,8
429,bad habits,ed sheeran,1,2020,9,3,1555511105,126,Minor,81,59,90,5,0,36,3
430,kick back,kenshi yonezu,1,2022,10,12,210038833,102,Major,58,29,94,0,0,9,11
431,evergreen,omar apollo,1,2022,4,8,227918678,82,Major,70,31,34,60,1,11,4
432,good days,sza,1,2020,12,24,826623384,121,Minor,46,53,78,23,0,72,6
433,levitating,dua lipa,2,2020,3,27,1802514301,103,Minor,70,92,83,1,0,7,6
434,woman,doja cat,1,2021,6,25,1329090101,108,Minor,82,88,76,9,0,12,9
435,shut up my moms calling -,hotel ugly,1,2022,9,14,181831132,85,Minor,65,36,47,31,0,12,10
436,ferrari,james hype,2,2022,3,14,462791599,125,Minor,84,70,69,1,0,5,5
437,"you're on your own, kid",taylor swift,1,2022,10,21,348647203,120,Major,69,40,39,41,0,13,6
438,kesariya,pritam,3,2022,7,17,366599607,94,Major,58,44,57,57,0,10,3
439,agudo mï¿½ï¿½gi,styrx,3,1930,1,1,90598517,130,Minor,65,49,80,22,4,7,5
440,payphone,maroon 5,2,2012,1,1,1479264469,110,Major,74,51,74,2,0,29,4
441,all i want for christmas is you,mariah carey,1,1994,10,28,1449779435,150,Major,34,33,63,16,0,7,4
442,last christmas,wham!,1,1984,1,1,1159176109,107,Minor,74,88,65,28,0,46,3
443,rockin' around the christmas tree,brenda lee,1,1958,1,1,769213520,140,Major,70,85,41,71,0,45,5
444,jingle bell rock,bobby helms,1,1957,1,1,741301563,119,Major,74,78,37,84,0,6,3
445,it's beginning to look a lot like christmas,michael bublï¿,1,2011,10,14,807561936,93,Major,35,38,23,91,0,29,3
446,santa tell me,ariana grande,1,2013,12,13,834129063,133,Major,46,53,63,5,0,30,18
447,it's the most wonderful time of the year,andy williams,1,1963,10,14,663832097,202,Major,24,76,60,77,0,12,4
448,let it snow! let it snow! let it snow!,dean martin,1,1959,11,16,446390129,134,Major,45,72,24,91,0,18,4
449,snowman,sia,1,2017,1,1,690104769,105,Major,72,33,51,48,0,9,3
450,underneath the tree,kelly clarkson,1,2013,10,25,485285717,160,Major,51,69,81,0,0,21,5
451,feliz navidad,josï¿½ï¿½ felic,1,1970,11,1,520034544,148,Major,50,96,82,47,0,34,4
452,holly jolly christmas,michael bublï¿,1,2011,10,14,476244795,151,Major,65,70,47,87,0,9,4
453,mistletoe,justin bieber,1,2011,1,1,629173063,162,Minor,67,88,54,51,0,9,4
454,sleigh ride,the ronettes,1,1963,11,22,404664135,92,Major,53,84,77,40,0,32,3
455,seek & destroy,sza,1,2022,12,9,98709329,152,Major,65,35,65,44,18,21,7
456,love language,sza,1,2022,12,9,110849052,65,Minor,71,55,26,85,0,13,8
457,happy xmas,john lennon,4,1971,12,1,460492795,147,Major,33,39,61,32,0,77,3
458,used,sza,2,2022,12,8,94005786,150,Minor,73,71,69,53,0,32,9
459,a holly jolly christmas - single version,burl ives,1,1952,1,1,395591396,140,Major,67,81,36,64,0,15,3
460,the christmas song,nat king cole,1,1946,11,1,389771964,139,Major,36,22,15,84,0,11,4
461,wonderful christmastime - edited version / remastered 2011,paul mccartney,1,1979,11,16,403939487,95,Major,75,74,58,36,0,9,3
462,do they know it's christmas? - 1984 version,band aid,1,1984,11,25,481697415,115,Major,60,23,57,0,2,27,3
463,ghost in the machine,sza,2,2022,12,9,110073250,125,Major,62,59,43,84,3,11,5
464,special,sza,1,2022,12,9,88092256,76,Major,60,19,20,78,0,11,5
465,merry christmas everyone,shakin' stevens,1,1984,1,1,351636786,101,Minor,72,91,87,14,0,13,3
466,let it snow! let it snow! let it snow!,frank sinatra,2,1950,1,1,473248298,143,Major,60,86,32,88,0,34,6
467,sos,sza,1,2022,12,9,73981293,119,Minor,51,51,66,67,0,9,23
468,open arms,sza,2,2022,12,8,155653938,78,Major,67,22,59,76,1,15,16
469,white christmas,bing crosby,3,1942,1,1,395591396,96,Major,23,19,25,91,0,40,3
470,driving home for christmas - 2019 remaster,chris rea,1,1986,1,1,429504768,180,Major,51,87,58,36,0,18,4
471,christmas,darlene love,1,1963,11,22,242767149,126,Major,34,35,76,39,0,8,5
472,gone girl,sza,1,2022,12,9,65362788,150,Major,43,42,44,57,0,15,6
473,f2f,sza,1,2022,12,9,67540165,90,Major,53,47,74,9,0,34,4
474,notice me,sza,1,2022,12,9,62019074,160,Major,72,78,68,28,0,11,12
475,merry christmas,ed sheeran,2,2017,11,10,135723538,114,Major,59,60,94,24,0,10,4
476,it's beginning to look a lot like christmas,perry como,3,1958,1,1,295998468,113,Major,73,72,32,77,0,15,5
477,my only wish,britney spears,1,2000,11,7,261116938,147,Major,67,69,72,17,0,19,3
478,antidepresan,mabel matiz,2,2022,11,4,136689549,100,Minor,70,92,59,3,0,10,3
479,wild flower,rm,1,2022,12,2,135611421,155,Major,49,42,77,3,0,12,9
480,i hate u,sza,1,2021,12,3,356709897,107,Minor,54,41,39,51,0,11,16
481,raindrops,travis scott,2,2022,12,2,110649992,112,Major,80,15,54,9,0,38,5
483,deck the hall - remastered 1999,nat king cole,1,1959,1,1,127027715,107,Minor,69,96,36,81,0,8,4
484,smoking on my ex pack,sza,1,2022,12,9,57144458,81,Major,47,33,68,24,0,22,38
485,conceited,sza,1,2022,12,9,56870689,150,Major,79,77,46,5,0,11,7
486,snow on the beach,taylor swift,2,2022,10,21,323437194,110,Major,66,19,32,69,0,12,4
487,maroon,taylor swift,1,2022,10,21,317726339,108,Major,64,4,40,6,0,10,6
488,tubarï¿½ï¿½o te,dj lk da escï¿½ï¿½cia,4,2022,9,28,116144341,130,Minor,89,48,74,30,0,7,36
489,bejeweled,taylor swift,1,2022,10,21,328207708,164,Major,70,39,56,6,0,9,7
490,tarot,bad bunny,2,2022,5,6,608228647,114,Minor,80,42,68,2,0,66,4
491,you make it feel like christmas,gwen stefani,2,2005,9,20,180577478,93,Major,63,93,88,1,0,12,4
492,desesperados,chencho corleone,2,2021,6,25,809306935,90,Minor,87,51,69,36,0,9,8
493,too late,sza,1,2022,12,8,49262961,128,Major,45,35,68,78,0,39,8
494,party,bad bunny,2,2022,5,6,614555082,97,Major,83,47,80,2,0,24,9
495,run rudolph run - single version,chuck berry,1,1958,1,1,245350949,152,Minor,69,94,71,79,0,7,8
496,jingle bells - remastered 1999,frank sinatra,1,1957,1,1,178660459,175,Major,51,94,34,73,0,10,5
497,far,sza,1,2022,12,9,51641685,116,Major,61,48,55,67,0,16,8
498,on time,john legend,2,2022,12,2,78139948,80,Minor,33,51,59,76,0,44,6
499,gatï¿½ï¿½,maldy,2,2022,8,25,322336177,93,Minor,63,34,86,26,0,21,39
500,ýýýabcdefu,gayle,1,2021,8,13,1007612429,122,Major,70,42,54,30,0,37,5
501,sacrifice,the weeknd,1,2022,1,7,326792833,122,Major,70,91,79,3,0,7,10
502,is there someone else?,the weeknd,1,2022,1,7,391251368,135,Minor,70,60,58,4,0,16,3
503,fingers crossed,lauren spencer smith,3,2022,1,5,349585590,109,Major,60,45,47,62,0,31,5
504,out of time,the weeknd,1,2022,1,7,339659802,93,Minor,65,82,74,27,0,32,5
505,do it to it,cherish,2,2021,8,20,674772936,125,Minor,85,64,81,2,5,7,9
506,we don't talk about bruno,adassa,7,2021,11,19,432719968,206,Minor,58,83,45,36,0,11,8
507,pepas,farruko,1,2021,6,24,1309887447,130,Major,76,44,77,1,0,13,3
508,how do i make you love me?,the weeknd,1,2022,1,7,119238316,121,Minor,80,62,51,2,0,9,8
509,gasoline,the weeknd,1,2022,1,7,116903579,123,Minor,74,35,73,0,0,21,5
510,infinity,jaymes young,1,2017,6,23,888046992,122,Minor,67,50,67,15,0,30,4
511,less than zero,the weeknd,1,2022,1,7,200660871,143,Major,53,50,79,0,0,8,3
512,take my breath,the weeknd,1,2021,8,6,130655803,121,Minor,70,35,77,1,0,26,4
513,good 4 u,olivia rodrigo,1,2021,5,14,1887039593,166,Minor,56,68,66,28,0,11,18
514,here we goï¿½ï¿½ï¿½ again,the weeknd,3,2022,1,7,88103848,135,Major,41,27,64,36,0,60,3
515,best friends,the weeknd,1,2022,1,7,101114984,87,Minor,49,49,59,44,0,35,21
516,kiss me more,sza,2,2021,4,9,1575467011,111,Major,77,74,66,30,0,13,3
517,i heard you're married,the weeknd,2,2022,1,7,91656026,110,Major,75,85,84,10,0,31,19
518,need to know,doja cat,1,2021,6,11,1042568408,130,Major,66,19,61,30,0,9,7
519,montero,lil nas x,1,2020,9,18,1735441776,179,Minor,61,76,51,30,0,38,15
520,love nwantiti,ckay,1,2019,7,26,726837877,93,Minor,74,53,73,61,0,13,4
521,dawn fm,the weeknd,1,2022,1,7,53933526,78,Minor,27,10,49,62,0,49,5
522,surface pressure,jessica darrow,1,2021,11,19,267758538,180,Major,65,37,58,2,0,4,31
523,starry eyes,the weeknd,1,2022,1,7,74601456,86,Minor,28,13,41,50,0,19,3
524,thats what i want,lil nas x,1,2021,9,17,920797189,88,Minor,74,55,85,1,0,5,22
525,one right now,the weeknd,2,2021,11,5,539595276,97,Major,68,72,78,4,0,7,5
526,beggin,mï¿½ï¿½ne,1,2017,12,8,1367810478,134,Minor,71,59,80,13,0,36,5
527,mon amour - remix,aitana,2,2020,9,21,578207856,116,Major,75,36,76,12,0,10,10
528,lo siento bb:/,julieta venegas,3,2021,10,5,775542072,170,Minor,64,14,70,9,0,9,8
529,money,lisa,1,2021,9,10,863625566,140,Minor,83,40,55,16,0,14,23
530,the motto,tiï¿½ï¿½sto,2,2021,11,4,656013912,118,Minor,75,46,76,3,0,9,4
531,happier than ever,billie eilish,1,2021,7,30,1056760045,65,Major,31,31,24,76,0,14,4
532,moth to a flame,the weeknd,2,2021,10,22,611994237,120,Minor,56,16,67,0,0,11,4
533,traitor,juan cruz toledo,2,2021,5,21,1230855859,176,Major,29,12,33,68,0,12,5
534,toxic,boywithuke,1,2021,9,10,582981380,180,Minor,59,69,61,84,0,46,36
535,drivers license,olivia rodrigo,1,2021,1,8,1858144199,144,Major,59,21,43,76,0,10,7
536,malvadï¿½ï¿,xamï¿½ï¿½,3,2021,11,30,240684449,133,Minor,82,52,61,38,0,14,27
537,all too well,taylor swift,1,2021,11,12,583687007,93,Major,63,21,52,28,0,9,3
538,donï¿½ï¿½ï¿½t break my,the weeknd,1,2022,1,7,63803529,122,Major,77,25,62,34,0,23,3
539,oh my god,adele,1,2021,11,19,466214729,88,Major,53,55,73,9,0,3,5
540,entre nosotros,lit killah,4,2022,1,5,236940480,170,Minor,70,61,44,40,0,37,4
541,a tale by quincy,the weeknd,1,2022,1,7,41924466,94,Minor,46,55,50,71,0,10,11
542,i am woman,emmy meli,1,2021,11,18,225259194,170,Major,65,46,47,12,0,13,16
543,medallo,justin quiles,3,2021,10,27,393230256,90,Minor,79,79,70,57,0,66,8
544,it'll be okay,shawn mendes,1,2021,12,1,287201015,78,Major,40,7,29,62,0,9,3
545,softcore,the neighbourhood,1,2018,3,9,599770206,94,Major,57,36,58,5,0,15,3
546,super gremlin,kodak black,1,2021,10,30,342779426,73,Major,83,11,41,0,0,36,14
547,volvï¿,aventura,2,2021,8,3,673801126,176,Major,73,79,86,42,0,7,18
548,todo de ti,rauw alejandro,1,2020,11,2,1168642797,128,Minor,81,57,63,40,1,10,4
549,love nwantiti - remix,ckay,3,2019,8,30,540539717,120,Major,58,44,60,44,9,5,6
550,smokin out the window,bruno mars,3,2021,11,5,383550148,82,Major,63,85,62,6,0,35,4
551,meet me at our spot,the anxiety,3,2020,3,13,530511203,95,Major,77,40,47,2,0,9,3
552,every angel is terrifying,the weeknd,1,2022,1,7,37307967,118,Major,44,52,94,11,0,4,29
553,tacones rojos,sebastian yatra,1,2021,10,22,510876816,123,Minor,75,93,86,8,0,14,3
554,peaches,justin bieber,3,2021,3,19,1445941661,90,Major,63,49,68,38,0,42,18
555,dakiti,bad bunny,2,2020,10,30,1763363713,110,Minor,73,14,57,40,0,11,5
556,"tiago pzk: bzrp music sessions, vol. 48",bizarrap,2,2021,12,29,374191487,96,Minor,66,76,82,47,0,10,32
557,lï¿½ï¿½ï¿,stromae,1,2022,1,9,108809090,88,Minor,56,58,55,35,0,23,11
558,nostï¿½ï¿½l,chris brown,3,2021,9,8,436695353,98,Minor,73,60,85,17,0,24,5
559,better days,neiked,3,2021,9,24,421040617,110,Minor,72,67,68,0,0,14,4
560,life goes on,oliver tree,1,2020,7,17,501541661,80,Major,70,57,49,19,0,12,8
561,sad girlz luv money remix,kali uchis,3,2021,9,16,354065229,110,Minor,86,31,53,43,0,11,6
562,butter,bts,1,2021,5,21,1143647827,110,Major,79,70,36,0,0,6,11
563,pushin p,young thug,3,2022,1,7,311395144,78,Minor,77,49,42,1,1,13,19
564,you right,doja cat,2,2021,6,24,672656250,129,Major,83,44,62,2,0,8,6
565,deja vu,olivia rodrigo,1,2021,4,1,1256880657,181,Major,44,22,60,61,0,42,9
566,dynamite,bts,1,2020,8,21,1692897992,114,Minor,75,74,77,1,0,9,10
567,to the moon,jnr choi,1,2021,11,5,245095641,144,Major,74,39,65,5,1,11,35
568,lost in the fire,the weeknd,2,2019,1,11,686734357,101,Major,66,18,68,9,0,12,4
569,salimo de noche,trueno,2,2021,10,21,261414174,84,Major,67,78,63,29,0,12,5
570,volando - remix,sech,3,2021,7,8,610045621,154,Major,66,63,69,21,0,11,7
571,leave the door open,bruno mars,3,2021,3,5,1115880852,148,Major,59,72,62,18,0,9,3
572,knife talk,drake,3,2021,9,3,594482982,146,Minor,85,22,37,13,0,7,30
573,don't be shy,tiï¿½ï¿½sto,2,2021,8,1,566954746,120,Minor,77,51,79,20,0,26,6
574,love grows,edison lighthouse,1,1970,1,1,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,110,Major,53,75,69,7,0,17,3
575,la fama,the weeknd,2,2021,11,11,374706940,136,Minor,77,82,30,95,0,13,5
576,the family madrigal,olga merediz,3,2021,11,19,184937148,141,Major,59,56,63,12,0,6,36
577,phantom regret by jim,the weeknd,1,2022,1,7,31959571,108,Minor,46,23,48,75,30,14,4
578,dos oruguitas,sebastian yatra,1,2021,11,19,167076418,94,Major,42,47,36,76,0,9,5
579,freaks,surf curse,1,2015,5,10,824420218,180,Major,35,41,94,0,63,5,5
580,acapulco,jason derulo,1,2021,9,1,363467642,122,Major,77,51,79,5,0,16,5
581,daddy issues,the neighbourhood,1,2015,10,30,1127468248,85,Major,59,33,52,7,15,12,3
582,thought i was playing,21 savage,2,2022,1,7,60680939,148,Major,68,29,73,0,0,7,7
583,eleven,ive,1,2021,12,1,247737946,120,Major,83,59,73,6,0,5,11
584,mood,24kgoldn,2,2020,7,24,1699402402,91,Minor,70,76,72,22,0,27,4
585,what else can i do?,stephanie beatriz,2,2021,11,19,154797871,120,Major,72,54,71,26,0,10,4
586,dance crip,trueno,1,2021,11,17,198883004,106,Major,86,86,79,11,0,8,9
587,miserable man,david kushner,1,2022,1,7,124407432,110,Major,63,31,35,93,0,29,3
588,happier,olivia rodrigo,1,2021,5,21,850608354,169,Major,39,36,45,81,0,8,13
589,praise god,kanye west,1,2021,8,29,376333030,118,Major,80,21,55,1,0,26,17
590,get into it,doja cat,1,2021,6,25,516784627,92,Minor,91,79,66,32,0,9,16
