,track_id,artist_id,track_title,artists,popularity
56,4IadxL6BUymXlh8RCJJu7T,2FXC3k01G6Gw61bmprjgqS,too sweet,hozier,82
60,6tNQ70jh4OwmPGpYy6R2o9,22wbnEMDvgVIAGdFeek6ET,beautiful things,benson boone,90
68,2HYFX63wP3otVIvopRS99Z,7dGJo4pcD2V6oG8kP0tJRR,houdini,eminem,90
69,4pkb8SbRGeHAvdb87v9rpf,64KEffDW9EtZ1y2vBYgq8T,miles on it,marshmello,84
70,1bjeWoagtHmUKputLVyDxQ,7tYKF4w9nC0nq9CsPZTHyP,saturn,sza,89
72,6b81dy3WjbozXK6b7C1gu5,7Ez6lTtSMjMf2YSYpukP1I,austin,dasha,36
74,73KAidtqbDftZjy8AD0H04,1Tie3AZgLQZqYEp8Fv4zOZ,high road,koe wetzel,80
76,0Izt8MdEU7zDy2hDsm5YkH,2qoQgPAilErOKCwE2Y8wOG,wanna be,glorilla,70
77,6dODwocEuGzHAavXqTbwHv,06HL4z0CvFAxyc27GXpf02,fortnight,taylor swift,81
78,5ZLL6wYXeqg0k35ZkDRfhZ,246dkjvS1zLTtiykXe5h60,pour me a drink,post malone,84
80,46kspZSY3aKmwQe7O77fCC,66CXWjxzNUsdJxJ2JdwvnR,we can't be friends,ariana grande,84
82,3Rfre3qkrhwdZZ7dyznwbN,6TIYQ3jFPwQSRmorSezPxX,lonely road,mgk,79
84,6WO7IDGLakjO38lsvI2gHB,22wbnEMDvgVIAGdFeek6ET,slow it down,benson boone,76
85,76ODTQOl0JZQbhfxs6nRV9,19k8AgwwTSxeaxkOuCQEJs,i am not okay,jelly roll,78
86,2fPvQfGQEZOKtJ9qXeL4x8,06HL4z0CvFAxyc27GXpf02,i can do it with a broken heart,taylor swift,81
87,2Zo1PcszsT9WQ0ANntJbID,74KM79TiuVKeVCqs8QtB0B,feather,sabrina carpenter,88
88,4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ,lovin on me,jack harlow,84
90,6VpH2prT3NGiK5pnpG2L3J,4NYMUsIcUUsBHbV9DICa5x,bulletproof,nate smith,72
92,0SdBkFh6u5IHIXqlBu0NyI,2qoQgPAilErOKCwE2Y8wOG,yeah glo!,glorilla,76
95,2hKYtHbwYOSjvYQhVdUpdQ,2qoQgPAilErOKCwE2Y8wOG,tgif,glorilla,79
96,48X5k2vce5rXckgDAnXMsa,6zLBxLdl60ekBLpawtT63I,dirt cheap,cody johnson,74
97,00vR63trn1CzygcjgAFaiM,3tJoFztHeIJkJWMrx0td2f,whiskey whiskey,moneybagg yo,69
98,6XjDF6nds4DE2BBbagZol6,7CvTknweLr9feJtRGrpDBy,gata only,floyymenor,96
99,0y5Ex8oQ8zCH5TQxHUy1Eo,6BRxQ8cD3eqnrVj6WKDok8,you look like you love me,ella langley,83
100,57lsYy0OZLNb5OQ7fEa3Hs,3LZZPxNDGDFVSIPqf4JuEf,did it first,ice spice,87
